cat file,c2_category,leaf_category
Low Voltage Switch Gear,Power Contactors,"MCX-32, 4 Pole Power Contactor, AC1- 160 A"
Low Voltage Switch Gear,Power Contactors,"MCX-33, 4 Pole Power Contactor, AC1- 200 A"
Low Voltage Switch Gear,Power Contactors,"MCX-34, 4 Pole Power Contactor, AC1- 255 A"
Low Voltage Switch Gear,Power Contactors,"MCX-41, 4 Pole Power Contactor, AC1- 325 A"
Low Voltage Switch Gear,Power Contactors,"MCX-42, 4 Pole Power Contactor, AC1- 360 A"
Low Voltage Switch Gear,Power Contactors,"MCX-43, 4 Pole Power Contactor, AC1- 400 A"
Low Voltage Switch Gear,Power Contactors,"MCX-44, 4 Pole Power Contactor, AC1- 560 A"
Low Voltage Switch Gear,Power Contactors,"MCX-45, 4 Pole Power Contactor, AC1- 600 A"
Low Voltage Switch Gear,Power Contactors,"MCX-46, 4 Pole Power Contactor, AC1- 700 A"
Low Voltage Switch Gear,Power Contactors,"MCX-47, 4 Pole Power Contactor, AC1- 900 A"
