cat file,c2_category,leaf_category
Low Voltage Switch Gear,Power Contactors,"MNX-9-2P, Double Pole Power Contactor, AC1-25 A"
Low Voltage Switch Gear,Power Contactors,"MNX-12-2P, Double Pole Power Contactor, AC1-30 A"
Low Voltage Switch Gear,Power Contactors,"MNX-18-2P, Double Pole Power Contactor, AC1-30 A"
Low Voltage Switch Gear,Power Contactors,"MNX-22-2P, 22A Double Pole Power Contactor, AC1-32 A"
Low Voltage Switch Gear,Power Contactors,"MNX-25-2P, Double Pole Power Contactor, AC1-45 A"
Low Voltage Switch Gear,Power Contactors,"MNX-32-2P, Double Pole Power Contactor, AC1- 55 A"
Low Voltage Switch Gear,Power Contactors,"MNX-40-2P, Double Pole Power Contactor, AC1- 55 A"
Low Voltage Switch Gear,Power Contactors,"MNX-50-2P, Double Pole Power Contactor, AC1- 85 A"
Low Voltage Switch Gear,Power Contactors,"MNX-70-2P, Double Pole Power Contactor, AC1- 100 A"
Low Voltage Switch Gear,Power Contactors,"MNX-80-2P, Double Pole Power Contactor, AC1- 100 A"
Low Voltage Switch Gear,Power Contactors,"MNX-95-2P, Double Pole Power Contactor, AC1- 160 A"
Low Voltage Switch Gear,Power Contactors,"MNX-110-2P, Double Pole Power Contactor, AC1- 160 A"
Low Voltage Switch Gear,Power Contactors,"MNX-140-2P, Double Pole Power Contactor, AC1- 160 A"
Low Voltage Switch Gear,Power Contactors,"MNX-185-2P, Double Pole Power Contactor, AC1- 250 A"
Low Voltage Switch Gear,Power Contactors,"MNX 225-2P, Double Pole Power Contactor, AC1- 300 A"
Low Voltage Switch Gear,Power Contactors,"MNX-250-2P, Double Pole Power Contactor, AC1- 300 A"
Low Voltage Switch Gear,Power Contactors,"MNX-300-2P, Double Pole Power Contactor, AC1- 400 A"
Low Voltage Switch Gear,Power Contactors,"MNX-400-2P, Double Pole Power Contactor, AC1- 425 A"
Low Voltage Switch Gear,Power Contactors,"MNX-550-2P, Double Pole Power Contactor, AC1- 650 A"
Low Voltage Switch Gear,Power Contactors,"MNX-650-2P, Double Pole Power Contactor, AC1- 800 A"
Low Voltage Switch Gear,Power Contactors,"MDX-9, 3 Pole DC Control Power Contactor, AC1- 25 A"
Low Voltage Switch Gear,Power Contactors,"MDX-12, 3 Pole DC Control Power Contactor, AC1- 28 A"
Low Voltage Switch Gear,Power Contactors,"MDX-18, 3 Pole DC Control Power Contactor, AC1- 32 A"
Low Voltage Switch Gear,Power Contactors,"MDX-25, 3 Pole DC Control Power Contactor, AC1- 32 A"
Low Voltage Switch Gear,Power Contactors,"MDX-32,3 Pole DC Control Power Contactor, AC1- 56 A"
Low Voltage Switch Gear,Power Contactors,"MDX-38, 3 Pole DC Control Power Contactor, AC1- 56 A"
Low Voltage Switch Gear,Power Contactors,"MDX-50, 3 Pole DC Control Power Contactor, AC1- 90 A"
Low Voltage Switch Gear,Power Contactors,"MDX-65, 3 Pole DC Control Power Contactor, AC1- 110 A"
Low Voltage Switch Gear,Power Contactors,"MDX-80, 3 Pole DC Control Power Contactor, AC1- 125 A"
Low Voltage Switch Gear,Power Contactors,"MDX-95, 3 Pole DC Power Contactor, AC1- 125 A"
Low Voltage Switch Gear,Power Contactors,"MDX-115, 3 Pole DC Power Contactor, AC1- 125 A"
Low Voltage Switch Gear,Power Contactors,"MX-06, 3 Pole AC Control Power Contactor, AC1- 20 A"
Low Voltage Switch Gear,Power Contactors,"MX-06, 3 Pole AC Control Power Contactor, AC1- 20 A"
Low Voltage Switch Gear,Power Contactors,"MX-09, 3 Pole AC Control Power Contactor, AC1- 20 A"
Low Voltage Switch Gear,Power Contactors,"MX-09, 3 Pole AC Control Power Contactor, AC1- 20 A"
Low Voltage Switch Gear,Power Contactors,"MX-12, 3 Pole AC Control Power Contactor, AC1- 20 A"
Low Voltage Switch Gear,Power Contactors,"MX-12, 3 Pole AC Control Power Contactor, AC1- 20 A"
Low Voltage Switch Gear,Power Contactors,"MX-06, 3 Pole DC Control Power Contactor, AC1- 20 A"
Low Voltage Switch Gear,Power Contactors,"MX-06, 3 Pole DC Control Power Contactor, AC1- 20 A"
Low Voltage Switch Gear,Power Contactors,"MX-09, 3 Pole DC Control Power Contactor, AC1- 20 A"
Low Voltage Switch Gear,Power Contactors,"MX-09, 3 Pole DC Control Power Contactor, AC1- 20 A"
Low Voltage Switch Gear,Power Contactors,"MX-12, 3 Pole DC Control Power Contactor, AC1- 20 A"
Low Voltage Switch Gear,Power Contactors,"MX-12, 3 Pole DC Control Power Contactor, AC1- 20 A"
Low Voltage Switch Gear,Power Contactors,"ML-1.5, 3 Pole Power Contactor 110V, AC1- 25 A"
Low Voltage Switch Gear,Power Contactors,"ML-2, 3 Pole Power Contactor 110V, AC1- 40 A"
Low Voltage Switch Gear,Power Contactors,"ML-3, 3 Pole Power Contactor, AC1- 45 A"
Low Voltage Switch Gear,Power Contactors,"ML-4, 3 Pole Power Contactor, AC1- 100 A"
Low Voltage Switch Gear,Power Contactors,"ML-6, 3 Pole Power Contactor, AC1- 125 A"
Low Voltage Switch Gear,Power Contactors,"ML-12, 3 Pole Power Contactor, AC1- 400 A"
Low Voltage Switch Gear,Power Contactors,"MCX-01, 4 Pole Power Contactor, AC1- 18 A"
Low Voltage Switch Gear,Power Contactors,"MCX-02, 4 Pole Power Contactor, AC1- 25 A"
Low Voltage Switch Gear,Power Contactors,"MCX-03, 4 Pole Power Contactor, AC1- 32 A"
Low Voltage Switch Gear,Power Contactors,"MCX-04, 4 Pole Power Contactor, AC1- 40 A"
Low Voltage Switch Gear,Power Contactors,"MCX-11, 4 Pole Power Contactor, AC1- 55 A"
Low Voltage Switch Gear,Power Contactors,"MCX-12, 4 Pole Power Contactor, AC1- 63 A"
Low Voltage Switch Gear,Power Contactors,"MCX-13, 4 Pole Power Contactor, AC1- 80 A"
Low Voltage Switch Gear,Power Contactors,"MCX-22, 4 Pole Power Contactor, AC1- 105 A"
Low Voltage Switch Gear,Power Contactors,"MCX-23, 4 Pole Power Contactor, AC1- 130 A"
