c1_category,c2_category,leaf_category
PLC,Accessories,Battery
Servo Motor,Accessories,Battery
Servo Motor,Accessories,Battery
Human Machine Interface,Accessories,Battery
HMI,Accessories,Battery
Servo Motor,Accessories,Battery
