id,name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name,accesoriess_cat_name
8394,Polycab 0.50 Sq.mm X 1 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,16300,8313,Piece,(1 Pack of 100 No),1,Polycab 0.50 Sq.mm X 1 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.50 Sqmm,Pair,1 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,1258698664-Polycab-0.50,,18%,,,,,,,,,1,1-2 Days,,
8395,Polycab 0.50 Sq.mm X 2 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,27100,13821,Piece,(1 Pack of 100 No),1,Polycab 0.50 Sq.mm X 2 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.50 Sqmm,Pair,2 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,6129219692-Polycab-0.50,,18%,,,,,,,,,1,1-2 Days,,
8396,Polycab 0.50 Sq.mm X 3 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,33600,17136,Piece,(1 Pack of 100 No),1,Polycab 0.50 Sq.mm X 3 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.50 Sqmm,Pair,3 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,5668534471-Polycab-0.50,,18%,,,,,,,,,1,1-2 Days,,
8397,Polycab 0.50 Sq.mm X 4 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,40400,20604,Piece,(1 Pack of 100 No),1,Polycab 0.50 Sq.mm X 4 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.50 Sqmm,Pair,4 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,8674047581-Polycab-0.50,,18%,,,,,,,,,1,1-2 Days,,
8398,Polycab 0.50 Sq.mm X 5 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,46700,23817,Piece,(1 Pack of 100 No),1,Polycab 0.50 Sq.mm X 5 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.50 Sqmm,Pair,5 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,4741942453-Polycab-0.50,,18%,,,,,,,,,1,1-2 Days,,
8399,Polycab 0.50 Sq.mm X 6 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,53900,27489,Piece,(1 Pack of 100 No),1,Polycab 0.50 Sq.mm X 6 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.50 Sqmm,Pair,6 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,7223429802-Polycab-0.50,,18%,,,,,,,,,1,1-2 Days,,
8400,Polycab 0.50 Sq.mm X 7 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,59600,30396,Piece,(1 Pack of 100 No),1,Polycab 0.50 Sq.mm X 7 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.50 Sqmm,Pair,7 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,8743883679-Polycab-0.50,,18%,,,,,,,,,1,1-2 Days,,
8401,Polycab 0.50 Sq.mm X 8 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,67100,34221,Piece,(1 Pack of 100 No),1,Polycab 0.50 Sq.mm X 8 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.50 Sqmm,Pair,8 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,2609904248-Polycab-0.50,,18%,,,,,,,,,1,1-2 Days,,
8402,Polycab 0.50 Sq.mm X 10 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,79500,40545,Piece,(1 Pack of 100 No),1,Polycab 0.50 Sq.mm X 10 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.50 Sqmm,Pair,10 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,8489890286-Polycab-0.50,,18%,,,,,,,,,1,1-2 Days,,
8404,Polycab 0.50 Sq.mm X 12 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,45250,23077.5,Piece,(1 Pack of 50 No),1,Polycab 0.50 Sq.mm X 12 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.50 Sqmm,Pair,12 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,1712416754-Polycab-0.50,,18%,,,,,,,,,1,1-2 Days,,
