c1_category,c2_category,leaf_category
Relay,Voltage Monitoring Relay,"Volatege Monitoring Relay IL 5880, DPDT, 5 A, DIN Rail, 230 VAC, Screw"
Relay,Safety Switching Device,"Safety Relay, 24 VDC, 3PST-NO, SPST-NC, LG 5925, DIN Rail, 3 A, Screw"
Relay,Safety Extension Relay,Safety Relay Extension module
