id,name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name,,
1,"Dowell's, CP-59-Pin Terminal Non-insulated Thimble,Wires Size-0.75 Sq.mm. (1 Pack of 200 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-59,CP-Series,CP-59,2.5,500,Piece,(1 Pack of 200 No),1,"CP-59-Pin Terminal Non-insulated Thimble,Wires Size-0.75 Sq.mm",--,--,--,--,--,Wires Size,0.75 Sq.mm,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1710928464-Product-Screenshot 2024-03-20 150644.png,7490125235-Dowell's--CP,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,--,,
2,"Dowell's, CP-44-Pin Terminal Non-Insulated Thimble,Wires Size-1 Sq.mm. (1 Pack of 200 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-44,CP-Series,CP-44,2.5,500,Piece,(1 Pack of 200 No),1,"CP-44-Pin Terminal Non-insulated Thimble,Wires Size-1 Sq.mm",--,--,--,--,--,Wires Size,1 Sq.mm,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1710928464-Product-Screenshot 2024-03-20 150644.png,5049562383-Dowell's--CP,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,--,,
3,"Dowell's, CP-9 -Pin Terminal Non-Insulated Thimble,Wires Size-1.5 Sq.mm. (1 Pack of 200 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-9,CP-Series,CP-9,2.5,500,Piece,(1 Pack of 200 No),1,"CP-9 -Pin Terminal Non-insulated Thimble,Wires Size-1.5 Sq.mm",--,--,--,--,--,Wires Size,1.5 Sq.mm,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1710928464-Product-Screenshot 2024-03-20 150644.png,1455453389-Dowell's--CP,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,--,,
4,"Dowell's, CP-35-Pin Terminal Non-Insulated Thimble,Wires Size-1.5 Sq.mm. (1 Pack of 200 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-35,CP-Series,CP-35,2.8,560,Piece,(1 Pack of 200 No),1,"CP-35-Pin Terminal Non-insulated Thimble,Wires Size-1.5 Sq.mm",--,--,--,--,--,Wires Size,1.5 Sq.mm,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1710928464-Product-Screenshot 2024-03-20 150644.png,5136103178-Dowell's--CP,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,--,,
5,"Dowell's, CP-1-Pin Terminal Non-insulated Thimble,Wires Size-2.5 Sq.mm. (1 Pack of 200 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-1,CP-Series,CP-1,2.5,500,Piece,(1 Pack of 200 No),1,"CP-1-Pin Terminal Non-insulated Thimble,Wires Size-2.5 Sq.mm",--,--,--,--,--,Wires Size,2.5 Sq.mm,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1710928464-Product-Screenshot 2024-03-20 150644.png,2640251125-Dowell's--CP,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,--,,
6,"Dowell's, CP-2-Pin Terminal Non-Insulated Thimble,Wires Size-2.5 Sq.mm. (1 Pack of 200 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-2,CP-Series,CP-2,2.5,500,Piece,(1 Pack of 200 No),1,"CP-2-Pin Terminal Non-insulated Thimble,Wires Size-2.5 Sq.mm",--,--,--,--,--,Wires Size,2.5 Sq.mm,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1710928464-Product-Screenshot 2024-03-20 150644.png,4116931862-Dowell's--CP,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,--,,
7,"Dowell's, CP-86-Pin Terminal Non-Insulated Thimble,Wires Size-25 Sq.mm. (1 Pack of 13 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-86,CP-Series,CP-86,28,364,Piece,(1 Pack of 13 No),1,"CP-86-Pin Terminal Non-insulated Thimble,Wires Size-25 Sq.mm",--,--,--,--,--,Wires Size,25 Sq.mm,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1710928464-Product-Screenshot 2024-03-20 150644.png,8774683201-Dowell's--CP,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,--,,
8,"Dowell's, CP-87-Pin Terminal Non-Insulated Thimble,Wires Size-35 Sq.mm. (1 Pack of 10 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-87,CP-Series,CP-87,37,370,Piece,(1 Pack of 10 No),1,"CP-87-Pin Terminal Non-insulated Thimble,Wires Size-35 Sq.mm",--,--,--,--,--,Wires Size,35 Sq.mm,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1710928464-Product-Screenshot 2024-03-20 150644.png,5800682419-Dowell's--CP,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,--,,
9,"Dowell's, CP-3-Pin- Terminal Non-Insulated Thimble,Wires Size-4 Sq.mm. (Pack Of 80 Nos.)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-3,CP-Series,CP-3,4.8,384,Piece,(Pack Of 80 Nos.),1,"CP-3-Pin Terminal Non-insulated Thimble,Wires Size-4 Sq.mm",--,--,--,--,--,Wires Size,4 Sq.mm,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1710928464-Product-Screenshot 2024-03-20 150644.png,6995257782-Dowell's--CP,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,--,,
10,"Dowell's, CP-5-Pin- Terminal Non-Insulated Thimble,Wires Size-6 Sq.mm. (1 Pack of 80 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-5,CP-Series,CP-5,4.8,384,Piece,(Pack Of 80 Nos.),1,"CP-5-Pin Terminal Non-insulated Thimble,Wires Size-6 Sq.mm",--,--,--,--,--,Wires Size,6 Sq.mm,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1710928464-Product-Screenshot 2024-03-20 150644.png,1387400955-Dowell's--CP,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,--,,
11,"Dowell's, CP-7-Pin- Terminal Non-Insulated Thimble,Wires Size-10 Sq.mm. (1 Pack of 50 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-7,CP-Series,CP-7,7.6,380,Piece,(1 Pack of 50 No),1,"CP-7-Pin Terminal Non-insulated Thimble,Wires Size-10 Sq.mm",--,--,--,--,--,Wires Size,10 Sq.mm,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1710928464-Product-Screenshot 2024-03-20 150644.png,7183251876-Dowell's--CP,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,--,,
12,"Dowell's, CP-8-Pin- Terminal Non-Insulated Thimble,Wires Size-16 Sq.mm. (1 Pack of 25 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-8,CP-Series,CP-8,15,375,Piece,(1 Pack of 25 No),1,"CP-8-Pin Terminal Non-insulated Thimble,Wires Size-16 Sq.mm",--,--,--,--,--,Wires Size,16 Sq.mm,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1710928464-Product-Screenshot 2024-03-20 150644.png,8659585890-Dowell's--CP,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,--,,
13,"Dowell's, CP-88-Pin- Terminal Non-Insulated Thimble,Wires Size-50 Sq.mm. (1 Pack of 7 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-88,CP-Series,CP-88,56,392,Piece,(1 Pack of 7 No),1,"CP-88-Pin Terminal Non-insulated Thimble,Wires Size-50 Sq.mm",--,--,--,--,--,Wires Size,50 Sq.mm,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1710928464-Product-Screenshot 2024-03-20 150644.png,7144650566-Dowell's--CP,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,--,,
14,"Dowell's, CP-89-Pin- Terminal Non-Insulated Thimble,Wires Size-70 Sq.mm. (1 Pack of 5 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-89,CP-Series,CP-89,75,375,Piece,(1 Pack of 5 No),1,"CP-89-Pin Terminal Non-insulated Thimble,Wires Size-70 Sq.mm",--,--,--,--,--,Wires Size,70 Sq.mm,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1710928464-Product-Screenshot 2024-03-20 150644.png,4564589639-Dowell's--CP,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,--,,
15,"Dowell's, CP-90-Pin- Terminal Non-Insulated Thimble,Wires Size-95 Sq.mm. (1 Pack of 4 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-90,CP-Series,CP-90,96,384,Piece,(1 Pack of 4 No),1,"CP-90-Pin Terminal Non-insulated Thimble,Wires Size-95 Sq.mm",--,--,--,--,--,Wires Size,95 Sq.mm,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1710928464-Product-Screenshot 2024-03-20 150644.png,3109000687-Dowell's--CP,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,--,,
16,"CSMBS1B6 C&S Electric- 6A, 1 Pole B Curve 10kA WiNtrip2 MCB (Pack of 12)",C&S Electric,Factory Automation,Low Voltage Switch Gear,MCB,WiNtrip2 Miniature Circuit Breaker,CSMBS1B6,B-Series,CSMBS1B6,3180,2544,Piece,Pack of 12,1,"CSMBS1B6,C&S 6A, 1 Pole B Curve 10kA WiNtrip2 MCB:- Buy C&S, CSMBS1B6 in Best Rate All Over India. Distributors in Top Cities Such as Noida, Delhi NCR, Mumbai, Chennai, Bengaluru, Kolkata, Pune, Jaipur and Ahmedabad.",--,--,--,--,--,Type,B Curve,No. of Poles,1 pole,Breaking Capacity,10 kA,Current Rating,6 Amp,Rated Frequency,50/60Hz,Rated Voltage,240/415V,Degree of Protection,IP 20,Installation Position,Vertical / Horizontal,Terminal Capacity,35 mm2,Resistance to Shock,40mm free fall,Mounting,Din rail Size 35.5 mm,1710739516-Product-Screenshot 2024-03-18 105402.png,6405480932-CSMBS1B6-C&S,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,--,,
17,"CSMBS1B10 C&S Electric- 10A , 1 Pole B Curve 10kA WiNtrip2 MCB (Pack of 12)",C&S Electric,Factory Automation,Low Voltage Switch Gear,MCB,WiNtrip2 Miniature Circuit Breaker,CSMBS1B10,B-Series,CSMBS1B10,3180,2544,Piece,Pack of 12,1,"CSMBS1B10,C&S 10A , 1 Pole B Curve 10kA WiNtrip2 MC:- Buy C&S, CSMBS1B10 in Best Rate All Over India. Distributors in Top Cities Such as Noida, Delhi NCR, Mumbai, Chennai, Bengaluru, Kolkata, Pune, Jaipur and Ahmedabad.",--,--,--,--,--,Type,B Curve,No. of Poles,1 pole,Breaking Capacity,10 kA,Current Rating,10 Amp,Rated Frequency,50/60Hz,Rated Voltage,240/415V,Degree of Protection,IP 20,Installation Position,Vertical / Horizontal,Terminal Capacity,35 mm2,Resistance to Shock,40mm free fall,Mounting,Din rail Size 35.5 mm,1710739516-Product-Screenshot 2024-03-18 105402.png,7499102992-CSMBS1B10-C&S,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,--,,
18,"CSMBS1B20 C&S Electric- 20A , 1 Pole B Curve 10kA WiNtrip2 MCB (Pack of 12)",C&S Electric,Factory Automation,Low Voltage Switch Gear,MCB,WiNtrip2 Miniature Circuit Breaker,CSMBS1B20,B-Series,CSMBS1B20,3180,2544,Piece,Pack of 12,1,"CSMBS1B20,C&S 20A , 1 Pole B Curve 10kA WiNtrip2 MC:- Buy C&S, CSMBS1B20 in Best Rate All Over India. Distributors in Top Cities Such as Noida, Delhi NCR, Mumbai, Chennai, Bengaluru, Kolkata, Pune, Jaipur and Ahmedabad.",--,--,--,--,--,Type,B Curve,No. of Poles,1 pole,Breaking Capacity,10 kA,Current Rating,20 Amp,Rated Frequency,50/60Hz,Rated Voltage,240/415V,Degree of Protection,IP 20,Installation Position,Vertical / Horizontal,Terminal Capacity,35 mm2,Resistance to Shock,40mm free fall,Mounting,Din rail Size 35.5 mm,1710739516-Product-Screenshot 2024-03-18 105402.png,6798780845-CSMBS1B20-C&S,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,--,,
