2 sheet,name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
8212,Polycab 4 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Green Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Maxima Green Wire,"Maxima Green Wire HR FR-LSH LF, Low Smoke Wires",,,,6730,4576.4,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 4 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Green Wire,1721206719-Product-Screenshot 2024-07-17 141503.png,,,,,Size,4 Sq.mm,Core,1 Core,Type,"Green Wire HR FR-LSH LF, Low Smoke Wires",Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Green,,,,,,,1721206709-Product-Screenshot 2024-07-17 141243.png,5612914991-Polycab-4-Sq.,,18%,,,,,,,,,1,1-2 Days,
8213,Polycab 6 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Green Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Maxima Green Wire,"Maxima Green Wire HR FR-LSH LF, Low Smoke Wires",,,,10100,6868,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 6 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Green Wire,1721206719-Product-Screenshot 2024-07-17 141503.png,,,,,Size,6 Sq.mm,Core,1 Core,Type,"Green Wire HR FR-LSH LF, Low Smoke Wires",Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Green,,,,,,,1721206709-Product-Screenshot 2024-07-17 141243.png,1499279400-Polycab-6-Sq.,,18%,,,,,,,,,1,1-2 Days,
8214,Polycab 10 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Green Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Maxima Green Wire,"Maxima Green Wire HR FR-LSH LF, Low Smoke Wires",,,,17760,12076.8,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 10 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Green Wire,1721206719-Product-Screenshot 2024-07-17 141503.png,,,,,Size,10 Sq.mm,Core,1 Core,Type,"Green Wire HR FR-LSH LF, Low Smoke Wires",Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Green,,,,,,,1721206709-Product-Screenshot 2024-07-17 141243.png,6100799183-Polycab-10-Sq,,18%,,,,,,,,,1,1-2 Days,
8215,Polycab 16 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Green Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Maxima Green Wire,"Maxima Green Wire HR FR-LSH LF, Low Smoke Wires",,,,17760,12076.8,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 16 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Green Wire,1721206719-Product-Screenshot 2024-07-17 141503.png,,,,,Size,16 Sq.mm,Core,1 Core,Type,"Green Wire HR FR-LSH LF, Low Smoke Wires",Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Green,,,,,,,1721206709-Product-Screenshot 2024-07-17 141243.png,4014173506-Polycab-16-Sq,,18%,,,,,,,,,1,1-2 Days,
8216,Polycab 0.75 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Optima Single Core Wire,Optima+ Red Wire LF FR,,,,1415,962.2,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 0.75 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire,1721209292-Product-Screenshot 2024-07-17 151119.png,,,,,Size,0.75 Sq.mm,Core,1 Core,Type,Optima+ Red Wire LF FR,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Red,,,,,,,1721208311-Product-Screenshot 2024-07-17 145452.png,8177980652-Polycab-0.75,,18%,,,,,,,,,1,1-2 Days,
8217,Polycab 1 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Optima Single Core Wire,Optima+ Red Wire LF FR,,,,1910,1298.8,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 1 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire,1721209292-Product-Screenshot 2024-07-17 151119.png,,,,,Size,1 Sq.mm,Core,1 Core,Type,Optima+ Red Wire LF FR,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Red,,,,,,,1721208311-Product-Screenshot 2024-07-17 145452.png,3752837124-Polycab-1-Sq.,,18%,,,,,,,,,1,1-2 Days,
8218,Polycab 1.5 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Optima Single Core Wire,Optima+ Red Wire LF FR,,,,2785,1893.8,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 1.5 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire,1721209292-Product-Screenshot 2024-07-17 151119.png,,,,,Size,1.5 Sq.mm,Core,1 Core,Type,Optima+ Red Wire LF FR,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Red,,,,,,,1721208311-Product-Screenshot 2024-07-17 145452.png,2788076479-Polycab-1.5-S,,18%,,,,,,,,,1,1-2 Days,
8219,Polycab 2.5 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Optima Single Core Wire,Optima+ Red Wire LF FR,,,,4410,2998.8,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 2.5 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire,1721209292-Product-Screenshot 2024-07-17 151119.png,,,,,Size,2.5 Sq.mm,Core,1 Core,Type,Optima+ Red Wire LF FR,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Red,,,,,,,1721208311-Product-Screenshot 2024-07-17 145452.png,8303996779-Polycab-2.5-S,,18%,,,,,,,,,1,1-2 Days,
8220,Polycab 4 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Optima Single Core Wire,Optima+ Red Wire LF FR,,,,6445,4382.6,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 4 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire,1721209292-Product-Screenshot 2024-07-17 151119.png,,,,,Size,4 Sq.mm,Core,1 Core,Type,Optima+ Red Wire LF FR,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Red,,,,,,,1721208311-Product-Screenshot 2024-07-17 145452.png,1303133672-Polycab-4-Sq.,,18%,,,,,,,,,1,1-2 Days,
8221,Polycab 6 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Optima Single Core Wire,Optima+ Red Wire LF FR,,,,9630,6548.4,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 6 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire,1721209292-Product-Screenshot 2024-07-17 151119.png,,,,,Size,6 Sq.mm,Core,1 Core,Type,Optima+ Red Wire LF FR,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Red,,,,,,,1721208311-Product-Screenshot 2024-07-17 145452.png,5764940096-Polycab-6-Sq.,,18%,,,,,,,,,1,1-2 Days,
