name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a+BA:BA,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"THK- BTL2005V-2.6ZZ, Ball Screw & Support Units, Ball Nut, Outer Diameter 20, Lead  5mm",THK,Mechanical,Linear Motion System,Ball Screw & Support Units,Ball Nut,BTL2005V-2.6ZZ,,BTL2005V-2.6ZZ,,7000,Piece,Each,1,"THK- BTL2005V-2.6ZZ, Ball Screw & Support Units, Ball Nut, Screw Shaft Outer Diameter 20, Lead (Ph) 5 -Buy THK -BTL2005V-2.6ZZ in Best Rate All Over India. Distributors in Top Cities Such as Noida, Delhi NCR, Mumbai, Chennai, Bengaluru, Kolkata, Pune, Jaipur and Ahmedabad.",,,,,,Screw Shaft Outer Diameter,20,Lead (Ph),5mm,Ball Center-To-Center Diameter,20.5,Thread Minor Diameter,17.2,No. Of Loaded Circuits (Rows*Turns),1*2.65,,,,,,,,,,,,,1719485597-Product-BTL2005V-2.6ZZ.PNG,,,18%,https://tech.thk.com/en/products/pdf/en_a15_282.pdf,,,,,,,,1,10-12 Days,
"THK- TS2005-1250LT, Ball Screw & Support Units, Ball Screw, Outer Diameter 20, Lead 5mm",THK,Mechanical,Linear Motion System,Ball Screw & Support Units,Ball Screw,TS2005-1250LT,,TS2005-1250LT,,8800,Piece,Each,1,"THK- TS2005-1250LT, Ball Screw & Support Units, Ball Screw, Symbol For Rolled Ball Screw Shaft TS- Buy THK -TS2005-1250LT in Best Rate All Over India. Distributors in Top Cities Such as Noida, Delhi NCR, Mumbai, Chennai, Bengaluru, Kolkata, Pune, Jaipur and Ahmedabad.",,,,,,Symbol For Rolled Ball Screw Shaft,TS,Outer Diameter,20,Lead,5mm,Shaft Length,1250,,,,,,,,,,,,,,,,,,18%,https://tech.thk.com/en/products/pdf/en_a15_282.pdf,,,,,,,,1,10-12 Days,
