poly cab ,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
Polycab 4 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Green Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Maxima Single Core Wire Low Smoke Wires,"Maxima+ Green Wire HR FR-LSH LF, Low Smoke Wires",,,,6730,4576.4,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 4 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Green Wire,1721206719-Product-Screenshot 2024-07-17 141503.png,,,,,Size,4 Sq.mm,Core,1 Core,Type,"Green Wire HR FR-LSH LF, Low Smoke Wires",Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Green,,,,,,,1721206709-Product-Screenshot 2024-07-17 141243.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 6 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Green Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Maxima Single Core Wire Low Smoke Wires,"Maxima+ Green Wire HR FR-LSH LF, Low Smoke Wires",,,,10100,6868,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 6 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Green Wire,1721206719-Product-Screenshot 2024-07-17 141503.png,,,,,Size,6 Sq.mm,Core,1 Core,Type,"Green Wire HR FR-LSH LF, Low Smoke Wires",Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Green,,,,,,,1721206709-Product-Screenshot 2024-07-17 141243.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 10 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Green Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Maxima Single Core Wire Low Smoke Wires,"Maxima+ Green Wire HR FR-LSH LF, Low Smoke Wires",,,,17760,12076.8,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 10 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Green Wire,1721206719-Product-Screenshot 2024-07-17 141503.png,,,,,Size,10 Sq.mm,Core,1 Core,Type,"Green Wire HR FR-LSH LF, Low Smoke Wires",Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Green,,,,,,,1721206709-Product-Screenshot 2024-07-17 141243.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 16 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Green Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Maxima Single Core Wire Low Smoke Wires,"Maxima+ Green Wire HR FR-LSH LF, Low Smoke Wires",,,,17760,12076.8,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 16 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Green Wire,1721206719-Product-Screenshot 2024-07-17 141503.png,,,,,Size,16 Sq.mm,Core,1 Core,Type,"Green Wire HR FR-LSH LF, Low Smoke Wires",Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Green,,,,,,,1721206709-Product-Screenshot 2024-07-17 141243.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.75 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Optima Single Core Wire,Optima+ Red Wire LF FR,,,,1415,962.2,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 0.75 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire,1721209292-Product-Screenshot 2024-07-17 151119.png,,,,,Size,0.75 Sq.mm,Core,1 Core,Type,Optima+ Red Wire LF FR,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Red,,,,,,,1721208311-Product-Screenshot 2024-07-17 145452.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 1 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Optima Single Core Wire,Optima+ Red Wire LF FR,,,,1910,1298.8,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 1 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire,1721209292-Product-Screenshot 2024-07-17 151119.png,,,,,Size,1 Sq.mm,Core,1 Core,Type,Optima+ Red Wire LF FR,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Red,,,,,,,1721208311-Product-Screenshot 2024-07-17 145452.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 1.5 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Optima Single Core Wire,Optima+ Red Wire LF FR,,,,2785,1893.8,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 1.5 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire,1721209292-Product-Screenshot 2024-07-17 151119.png,,,,,Size,1.5 Sq.mm,Core,1 Core,Type,Optima+ Red Wire LF FR,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Red,,,,,,,1721208311-Product-Screenshot 2024-07-17 145452.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 2.5 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Optima Single Core Wire,Optima+ Red Wire LF FR,,,,4410,2998.8,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 2.5 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire,1721209292-Product-Screenshot 2024-07-17 151119.png,,,,,Size,2.5 Sq.mm,Core,1 Core,Type,Optima+ Red Wire LF FR,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Red,,,,,,,1721208311-Product-Screenshot 2024-07-17 145452.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 4 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Optima Single Core Wire,Optima+ Red Wire LF FR,,,,6445,4382.6,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 4 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire,1721209292-Product-Screenshot 2024-07-17 151119.png,,,,,Size,4 Sq.mm,Core,1 Core,Type,Optima+ Red Wire LF FR,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Red,,,,,,,1721208311-Product-Screenshot 2024-07-17 145452.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 6 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Optima Single Core Wire,Optima+ Red Wire LF FR,,,,9630,6548.4,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 6 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire,1721209292-Product-Screenshot 2024-07-17 151119.png,,,,,Size,6 Sq.mm,Core,1 Core,Type,Optima+ Red Wire LF FR,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Red,,,,,,,1721208311-Product-Screenshot 2024-07-17 145452.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 10 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Optima Single Core Wire,Optima+ Red Wire LF FR,,,,14400,9792,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 10 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire,1721209292-Product-Screenshot 2024-07-17 151119.png,,,,,Size,10 Sq.mm,Core,1 Core,Type,Optima+ Red Wire LF FR,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Red,,,,,,,1721208311-Product-Screenshot 2024-07-17 145452.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 16 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Optima Single Core Wire,Optima+ Red Wire LF FR,,,,22730,15456.4,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 16 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire,1721209292-Product-Screenshot 2024-07-17 151119.png,,,,,Size,16 Sq.mm,Core,1 Core,Type,Optima+ Red Wire LF FR,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Red,,,,,,,1721208311-Product-Screenshot 2024-07-17 145452.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.75 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Primma Single Core Wire,Primma Flame Retardant Lead Free Wires,,,,1405,955.4,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 0.75 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables,1721209736-Product-Screenshot 2024-07-17 151841.png,,,,,Size,0.75 Sq.mm,Core,1 Core,Type,Primma Flame Retardant Lead Free Wires,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,,,,,,,,,1721209736-Product-Screenshot 2024-07-17 151827.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 1 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Primma Single Core Wire,Primma Flame Retardant Lead Free Wires,,,,1795,1220.6,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 1 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables,1721209736-Product-Screenshot 2024-07-17 151841.png,,,,,Size,1 Sq.mm,Core,1 Core,Type,Primma Flame Retardant Lead Free Wires,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,,,,,,,,,1721209736-Product-Screenshot 2024-07-17 151827.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 1.5 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Primma Single Core Wire,Primma Flame Retardant Lead Free Wires,,,,2610,1774.8,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 1.5 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables,1721209736-Product-Screenshot 2024-07-17 151841.png,,,,,Size,1.5 Sq.mm,Core,1 Core,Type,Primma Flame Retardant Lead Free Wires,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,,,,,,,,,1721209736-Product-Screenshot 2024-07-17 151827.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 2.5 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Primma Single Core Wire,Primma Flame Retardant Lead Free Wires,,,,4155,2825.4,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 2.5 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables,1721209736-Product-Screenshot 2024-07-17 151841.png,,,,,Size,2.5 Sq.mm,Core,1 Core,Type,Primma Flame Retardant Lead Free Wires,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,,,,,,,,,1721209736-Product-Screenshot 2024-07-17 151827.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 4 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Primma Single Core Wire,Primma Flame Retardant Lead Free Wires,,,,6320,4297.6,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 4 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables,1721209736-Product-Screenshot 2024-07-17 151841.png,,,,,Size,4 Sq.mm,Core,1 Core,Type,Primma Flame Retardant Lead Free Wires,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,,,,,,,,,1721209736-Product-Screenshot 2024-07-17 151827.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 6 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Primma Single Core Wire,Primma Flame Retardant Lead Free Wires,,,,9505,6463.4,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 6 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables,1721209736-Product-Screenshot 2024-07-17 151841.png,,,,,Size,6 Sq.mm,Core,1 Core,Type,Primma Flame Retardant Lead Free Wires,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,,,,,,,,,1721209736-Product-Screenshot 2024-07-17 151827.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.75 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Yellow Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Etira Single Core,Etira Flame Retardant,,,,1300,884,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 0.75 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Yellow Wire,1721211817-Product-Screenshot 2024-07-17 155328.png,,,,,Size,0.75 Sq.mm,Core,1 Core,Type,Primma Flame Retardant Lead Free Wires,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Yellow,,,,,,,1721211789-Product-Screenshot 2024-07-17 155254.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 1 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Yellow Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Etira Single Core,Etira Flame Retardant,,,,1700,1156,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 1 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Yellow Wire,1721211817-Product-Screenshot 2024-07-17 155328.png,,,,,Size,1 Sq.mm,Core,1 Core,Type,Primma Flame Retardant Lead Free Wires,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Yellow,,,,,,,1721211789-Product-Screenshot 2024-07-17 155254.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 1.5 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Yellow Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Etira Single Core,Etira Flame Retardant,,,,2495,1696.6,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 1.5 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Yellow Wire,1721211817-Product-Screenshot 2024-07-17 155328.png,,,,,Size,1.5 Sq.mm,Core,1 Core,Type,Primma Flame Retardant Lead Free Wires,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Yellow,,,,,,,1721211789-Product-Screenshot 2024-07-17 155254.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 2.5 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Yellow Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Etira Single Core,Etira Flame Retardant,,,,3980,2706.4,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 2.5 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Yellow Wire,1721211817-Product-Screenshot 2024-07-17 155328.png,,,,,Size,2.5 Sq.mm,Core,1 Core,Type,Primma Flame Retardant Lead Free Wires,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Yellow,,,,,,,1721211789-Product-Screenshot 2024-07-17 155254.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 4 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Yellow Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Etira Single Core,Etira Flame Retardant,,,,5950,4046,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 4 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Yellow Wire,1721211817-Product-Screenshot 2024-07-17 155328.png,,,,,Size,4 Sq.mm,Core,1 Core,Type,Primma Flame Retardant Lead Free Wires,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Yellow,,,,,,,1721211789-Product-Screenshot 2024-07-17 155254.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 6 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Yellow Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Etira Single Core,Etira Flame Retardant,,,,9125,6205,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 6 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Yellow Wire,1721211817-Product-Screenshot 2024-07-17 155328.png,,,,,Size,6 Sq.mm,Core,1 Core,Type,Primma Flame Retardant Lead Free Wires,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Yellow,,,,,,,1721211789-Product-Screenshot 2024-07-17 155254.png,,,18%,,,,,,,,,1,1-2 Days,
