name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a+BA:BA,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Cummins C25D5P-Diesel Generator Set X2.7 Series, 25 kVa/20 kWe, 35 Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set X2.7 Series, 25 kVa/20 kWe, 35 Amp",C25D5P,X2.7,C25D5P,,,Piece,Each,1,"Cummins C25D5P-Diesel Generator Set X2.7 Series, 25 kVa/20 kWe, 35 Amp",,,,,,Output Voltage (V),415 V,Power Factor,0.8 (Lagging),Current (3 phase/ 1 phase),35 Amp,Frequency (Hz) and RPM,"50 Hz, 1500 RPM",Duty,Prime,Power Rating kVA / kWe,25 kVa/20 kWe,No. Of Phases,3,,,,,,,,,1717587449-Product-C25D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C30D5P-Diesel Generator Set X2.7 Series, 30 kVa/24 kWe, 42 Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set X2.7 Series, 30 kVa/24 kWe, 42 Amp",C30D5P,X2.7,C30D5P,,,Piece,Each,1,"Cummins C30D5P-Diesel Generator Set X2.7 Series, 30 kVa/24 kWe, 42 Amp",,,,,,Output Voltage (V),415 V,Power Factor,0.8 (Lagging),Current (3 phase/ 1 phase),42 Amp,Frequency (Hz) and RPM,"50 Hz, 1500 RPM",Duty,Prime,Power Rating kVA / kWe,30 kVa/24 kWe,No. Of Phases,3,,,,,,,,,1717587460-Product-C30D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C20D5P-Diesel Generator Set X1.3 Series, 20 kVa/16 kWe, 28 Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set X1.3 Series, 20 kVa/16 kWe, 28 Amp",C20D5P,X1.3,C20D5P,,,Piece,Each,1,"Cummins C20D5P-Diesel Generator Set X1.3 Series, 20 kVa/16 kWe, 28 Amp",,,,,,Output Voltage (V),415 V,Power Factor,0.8 (Lagging),Current (3 phase/ 1 phase),28 Amp,Frequency (Hz) and RPM,"50 Hz, 1500 RPM",Duty,Prime,Power Rating kVA / kWe,20 kVa/16 kWe,No. Of Phases,3,,,,,,,,,1717587472-Product-C20D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C18.5D5P-Diesel Generator Set X1.3 Series, 18.5 kVa/14.8 kWe, 80 Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set X1.3 Series, 18.5 kVa/14.8 kWe, 80 Amp",C18.5D5P,X1.3,C18.5D5P,,,Piece,Each,1,"Cummins C18.5D5P-Diesel Generator Set X1.3 Series, 18.5 kVa/14.8 kWe, 80 Amp",,,,,,Output Voltage (V),230 V,Power Factor,0.8 (Lagging),Current (3 phase/ 1 phase),80 Amp,Frequency (Hz) and RPM,"50 Hz, 1500 RPM",Duty,Prime,Power Rating kVA / kWe,18.5 kVa/14.8 kWe,No. Of Phases,1,,,,,,,,,1717587486-Product-C18.5D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C35D5P-Diesel Generator Set X2.7 Series, 35 kVa/28 kWe, 49 Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set X2.7 Series, 35 kVa/28 kWe, 49 Amp",C35D5P,X2.7,C35D5P,,,Piece,Each,1,"Cummins C35D5P-Diesel Generator Set X2.7 Series, 35 kVa/28 kWe, 49 Amp",,,,,,Output Voltage (V),415 V,Power Factor,0.8 (Lagging),Current (3 phase/ 1 phase),49 Amp,Frequency (Hz) and RPM,"50 Hz, 1500 RPM",Duty,Prime,Power Rating kVA / kWe,35 kVa/28 kWe,No. Of Phases,3,,,,,,,,,1717587496-Product-C35D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C40D5P-Diesel Generator Set X2.7 Series, 40 kVa/32 kWe, 56 Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set X2.7 Series, 40 kVa/32 kWe, 56 Amp",C40D5P,X2.7,C40D5P,,,Piece,Each,1,"Cummins C40D5P-Diesel Generator Set X2.7 Series, 40 kVa/32 kWe, 56 Amp",,,,,,Output Voltage (V),415 V,Power Factor,0.8 (Lagging),Current (3 phase/ 1 phase),56 Amp,Frequency (Hz) and RPM,"50 Hz, 1500 RPM",Duty,Prime,Power Rating kVA / kWe,40 kVa/32 kWe,No. Of Phases,3,,,,,,,,,1717587507-Product-C40D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C50D5P-Diesel Generator Set B3.3 Series, 50 kVa/40 kWe, (70-217) Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set B3.3 Series, 50 kVa/40 kWe, (70-217) Amp",C50D5P,B3.3,C50D5P,,,Piece,Each,1,"Cummins C50D5P-Diesel Generator Set B3.3 Series, 50 kVa/40 kWe, (70-217) Amp",,,,,,Output Voltage (V),415 V-230 V,Power Factor,0.8-1 (Lagging),Current (3 phase/ 1 phase),70 Amp-217 Amp,Frequency (Hz) and RPM,"50 Hz, 1500 RPM",Duty,Prime,Power Rating kVA / kWe,50 kVa/40 kWe,No. Of Phases,(3-1) Phase,,,,,,,,,1717587517-Product-C50D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C62.5D5P-Diesel Generator Set B3.3 Series, 62.5 kVa/50 kWe, (87-272) Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set B3.3 Series, 62.5 kVa/50 kWe, (87-272) Amp",C62.5D5P,B3.3,C62.5D5P,,,Piece,Each,1,"Cummins C62.5D5P-Diesel Generator Set B3.3 Series, 62.5 kVa/50 kWe, (87-272) Amp",,,,,,Output Voltage (V),415 V-230 V,Power Factor,0.8-1 (Lagging),Current (3 phase/ 1 phase),87 Amp-272 Amp,Frequency (Hz) and RPM,"50 Hz, 1500 RPM",Duty,Prime,Power Rating kVA / kWe,62.5 kVa/50 kWe,No. Of Phases,(3-1) Phase,,,,,,,,,1717587536-Product-C62.5D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C82.5D5P-Diesel Generator Set B3.9 Series, 82.5 kVa/66 kWe, 115 Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set B3.9 Series, 82.5 kVa/66 kWe, 115 Amp",C82.5D5P,B3.9,C82.5D5P,,,Piece,Each,1,"Cummins C82.5D5P-Diesel Generator Set B3.9 Series, 82.5 kVa/66 kWe, 115 Amp",,,,,,Output Voltage And Frequency (V and Hz),"415 V, 50 Hz",Power Factor,0.8 (Lagging),Current Rating,115 Amp,RPM,1500,Duty,Prime,Power Rating kVA / kWe,82.5 kVa/66 kWe,No. Of Phases,3,,,,,,,,,1717587546-Product-C82.5D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C100D5-Diesel Generator Set B5.9 Series, 100 kVa/80 kWe, 139 Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set B5.9 Series, 100 kVa/80 kWe, 139 Amp",C100D5,B5.9,C100D5,,,Piece,Each,1,"Cummins C100D5-Diesel Generator Set B5.9 Series, 100 kVa/80 kWe, 139 Amp",,,,,,Output Voltage And Frequency (V and Hz),"415 V, 50 Hz",Power Factor,0.8 (Lagging),Current Rating,139 Amp,RPM,1500,Duty,Prime,Power Rating kVA / kWe,100 kVa/80 kWe,No. Of Phases,3,,,,,,,,,1717587556-Product-C100D5.PNG,,,18%,,,,,,,,,1,1-2 Days,
