id,name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
17131,"Standard DSDMSNHOSI04-Single Door - IP 40 With SS Enclosures, 4 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,Single Door - IP 40 With SS Enclosures,DSDMSNHOSI04,,DSDMSNHOSI04,,982,Piece,Pack of 20 Nos,1,"Sheet Steel Enclosures For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,4 Way,Type,S3IO,Mounting,Flush/Surface,,,,,,,,,,,,,,,,,"1726814644-Product-st 3,,,,,,.PNG",4142490606-Standard-DSDM,8537,18%,,,,,,,,,1,12-14 Days,
17132,"Standard DSDMSNHOSI06-Single Door - IP 40 With SS Enclosures, 6 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,Single Door - IP 40 With SS Enclosures,DSDMSNHOSI06,,DSDMSNHOSI06,,1125,Piece,Pack of 16 Nos,1,"Sheet Steel Enclosures For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,6 Way,Type,S3IO,Mounting,Flush/Surface,,,,,,,,,,,,,,,,,"1726814644-Product-st 3,,,,,,.PNG",3272577923-Standard-DSDM,8537,18%,,,,,,,,,1,12-14 Days,
17133,"Standard DSDMSNHOSI08-Single Door - IP 40 With SS Enclosures, 8 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,Single Door - IP 40 With SS Enclosures,DSDMSNHOSI08,,DSDMSNHOSI08,,1241,Piece,Pack of 12 Nos,1,"Sheet Steel Enclosures For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,8 Way,Type,S3IO,Mounting,Flush/Surface,,,,,,,,,,,,,,,,,"1726814644-Product-st 3,,,,,,.PNG",4318460761-Standard-DSDM,8537,18%,,,,,,,,,1,12-14 Days,
17134,"Standard DSDMSNHOSI12-Single Door - IP 40 With SS Enclosures, 12 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,Single Door - IP 40 With SS Enclosures,DSDMSNHOSI12,,DSDMSNHOSI12,,1676,Piece,Pack of 10 Nos,1,"Sheet Steel Enclosures For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,12 Way,Type,S3IO,Mounting,Flush/Surface,,,,,,,,,,,,,,,,,"1726814644-Product-st 3,,,,,,.PNG",5683911791-Standard-DSDM,8537,18%,,,,,,,,,1,12-14 Days,
17135,"Standard DSDMSNHOSI16-Single Door - IP 40 With SS Enclosures, 16 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,Single Door - IP 40 With SS Enclosures,DSDMSNHOSI16,,DSDMSNHOSI16,,1852,Piece,Pack of 8 Nos,1,"Sheet Steel Enclosures For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,16 Way,Type,S3IO,Mounting,Flush/Surface,,,,,,,,,,,,,,,,,"1726814644-Product-st 3,,,,,,.PNG",2977699267-Standard-DSDM,8537,18%,,,,,,,,,1,12-14 Days,
17136,"Standard DSDPSHODIW04-Double Door (Power shell) - IP 42 With SS Enclosures, 4 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,Double Door (Power shell) - IP 42 With SS Enclosures,DSDPSHODIW04,,DSDPSHODIW04,,1698,Piece,Pack of 8 Nos,1,"Sheet Steel Enclosures For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,4 Way,Type,S3IO,Mounting,Flush/Surface,,,,,,,,,,,,,,,,,"1726814644-Product-st 3,,,,,,.PNG",9585202233-Standard-DSDP,8537,18%,,,,,,,,,1,12-14 Days,
17137,"Standard DSDPSHODIW06-Double Door (Power shell) - IP 42 With SS Enclosures, 6 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,Double Door (Power shell) - IP 42 With SS Enclosures,DSDPSHODIW06,,DSDPSHODIW06,,1886,Piece,Pack of 6 Nos,1,"Sheet Steel Enclosures For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,6 Way,Type,S3IO,Mounting,Flush/Surface,,,,,,,,,,,,,,,,,"1726814644-Product-st 3,,,,,,.PNG",2339863669-Standard-DSDP,8537,18%,,,,,,,,,1,12-14 Days,
17138,"Standard DSDPSHODIW08-Double Door (Power shell) - IP 42 With SS Enclosures, 8 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,Double Door (Power shell) - IP 42 With SS Enclosures,DSDPSHODIW08,,DSDPSHODIW08,,2023,Piece,Pack of 6 Nos,1,"Sheet Steel Enclosures For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,8 Way,Type,S3IO,Mounting,Flush/Surface,,,,,,,,,,,,,,,,,"1726814644-Product-st 3,,,,,,.PNG",8936176154-Standard-DSDP,8537,18%,,,,,,,,,1,12-14 Days,
17139,"Standard DSDPSHODIW12-Double Door (Power shell) - IP 42 With SS Enclosures, 12 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,Double Door (Power shell) - IP 42 With SS Enclosures,DSDPSHODIW12,,DSDPSHODIW12,,2481,Piece,Pack of 4 Nos,1,"Sheet Steel Enclosures For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,12 Way,Type,S3IO,Mounting,Flush/Surface,,,,,,,,,,,,,,,,,"1726814644-Product-st 3,,,,,,.PNG",4938644160-Standard-DSDP,8537,18%,,,,,,,,,1,12-14 Days,
17140,"Standard DSDPSHODIW16-Double Door (Power shell) - IP 42 With SS Enclosures, 16 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,Double Door (Power shell) - IP 42 With SS Enclosures,DSDPSHODIW16,,DSDPSHODIW16,,3440,Piece,Pack of 4 Nos,1,"Sheet Steel Enclosures For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,16 Way,Type,S3IO,Mounting,Flush/Surface,,,,,,,,,,,,,,,,,"1726814644-Product-st 3,,,,,,.PNG",2780125558-Standard-DSDP,8537,18%,,,,,,,,,1,12-14 Days,
