id,name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
6993,"Neptune 1145- Surface Mounting Socket, Water Tight IP67, 32 A, 2 Pole+E, 200 upto 250V 3 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Surface Mounting","Surface Mounting Socket Outlet IP67, Water Tight",1145,,1145,2260,1356,Piece,Each,1,"Neptune 1145- Surface Mounting Socket, Water Tight IP67, 32 A, 2P+, 230 V",,,,,,Type,Surface Mounting Socket,Number of Pole,2 Pole+E,Current Rating,32 A,Voltage Rating,200 upto 250V,IP Protection,IP67,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pine,3 Pin,,,,,,,1720420250-Product-Screenshot 2024-07-08 120043.png,3729615373-Neptune-1145,8536,18%,https://neptuneindia.com/wp-content/uploads/files/1145_ip_67_surfa,,,,,,,,1,8-10 Days,
6994,"Neptune 1157- Surface Mounting Socket, Water Tight IP67, 63 A, 2 Pole+E, 200 upto 250V 3 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Surface Mounting","Surface Mounting Socket Outlet IP67, Water Tight",1157,,1157,6850,4110,Piece,Each,1,"Neptune 1157- Surface Mounting Socket, Water Tight IP67, 63 A, 2P+, 230 V",,,,,,Type,Surface Mounting Socket,Number of Pole,2 Pole+E,Current Rating,63 A,Voltage Rating,200 upto 250V,IP Protection,IP67,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pine,3 Pin,,,,,,,1720420333-Product-Screenshot 2024-07-08 120205.png,5918941747-Neptune-1157,8536,18%,https://neptuneindia.com/wp-content/uploads/files/db_1157_en.pdf,,,,,,,,1,8-10 Days,
6995,"Neptune 11427- Surface Mounting Socket, Water Tight IP67, 125 A, 2 Pole+E, 200 upto 250V 3 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Surface Mounting","Surface Mounting Socket Outlet IP67, Water Tight",11427,,11427,21740,13044,Piece,Each,1,"Neptune 11427- Surface Mounting Socket, Water Tight IP67, 125 A, 2P+, 230 V",,,,,,Type,Surface Mounting Socket,Number of Pole,2 Pole+E,Current Rating,125 A,Voltage Rating,200 upto 250V,IP Protection,IP67,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pine,3 Pin,,,,,,,1720420432-Product-Screenshot 2024-07-08 120344.png,2510765984-Neptune-11427,8536,18%,,,,,,,,,1,8-10 Days,
6996,"Neptune 1137- Surface Mounting Socket, Water Tight IP67, 16/20 A, 3 Pole+E, 415 V 4 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Surface Mounting","Surface Mounting Socket Outlet IP67, Water Tight",1137,,1137,2310,1386,Piece,Each,1,"Neptune 1137- Surface Mounting Socket, Water Tight IP67, 16/20 A, 3P+, 415 V",,,,,,Type,Surface Mounting Socket,Number of Pole,3 Pole+E,Current Rating,16/20 A,Voltage Rating,415 V,IP Protection,IP67,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pine,4 Pin,,,,,,,1720420792-Product-Screenshot 2024-07-08 120940.png,9403364990-Neptune-1137,8536,18%,,,,,,,,,1,8-10 Days,
6997,"Neptune 1149- Surface Mounting Socket, Water Tight IP67, 32 A, 3 Pole+E, 415 V 4 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Surface Mounting","Surface Mounting Socket Outlet IP67, Water Tight",1149,,1149,2790,1674,Piece,Each,1,"Neptune 1149- Surface Mounting Socket, Water Tight IP67, 32 A, 3P+, 415 V",,,,,,Type,Surface Mounting Socket,Number of Pole,3 Pole+E,Current Rating,32 A,Voltage Rating,415 V,IP Protection,IP67,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pine,4 Pin,,,,,,,1720421090-Product-Screenshot 2024-07-08 121436.png,4481693152-Neptune-1149,8536,18%,,,,,,,,,1,8-10 Days,
6998,"Neptune 1161- Surface Mounting Socket, Water Tight IP67, 63 A, 3 Pole+E, 415 V 4 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Surface Mounting","Surface Mounting Socket Outlet IP67, Water Tight",1161,,1161,6680,4008,Piece,Each,1,"Neptune 1161- Surface Mounting Socket, Water Tight IP67, 63 A, 3P+, 415 V",,,,,,Type,Surface Mounting Socket,Number of Pole,3 Pole+E,Current Rating,63 A,Voltage Rating,415 V,IP Protection,IP67,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pine,4 Pin,,,,,,,1720421090-Product-Screenshot 2024-07-08 121436.png,8574449618-Neptune-1161,8536,18%,,,,,,,,,1,8-10 Days,
6999,"Neptune 11441- Surface Mounting Socket, Water Tight IP67, 125 A, 3 Pole+E, 415 V 4 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Surface Mounting","Surface Mounting Socket Outlet IP67, Water Tight",11441,,11441,23850,14310,Piece,Each,1,"Neptune 11441- Surface Mounting Socket, Water Tight IP67, 125 A, 3P+, 415 V",,,,,,Type,Surface Mounting Socket,Number of Pole,3 Pole+E,Current Rating,125 A,Voltage Rating,415 V,IP Protection,IP67,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pine,4 Pin,,,,,,,1720421090-Product-Screenshot 2024-07-08 121436.png,9754820023-Neptune-11441,8536,18%,,,,,,,,,1,8-10 Days,
7000,"Neptune 1143- Surface Mounting Socket, Water Tight IP67, 16/20 A, 3 Pole+N+E, 230/415 V 5 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Surface Mounting","Surface Mounting Socket Outlet IP67, Water Tight",1143,,1143,2310,1386,Piece,Each,1,"Neptune 1143- Surface Mounting Socket, Water Tight IP67, 16/20 A, 3P + N + P, 230/415 V",,,,,,Type,Surface Mounting Socket,Number of Pole,3 Pole+N+E,Current Rating,16/20 A,Voltage Rating,230/415 V,IP Protection,IP67,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pine,5 Pin,,,,,,,1720421272-Product-Screenshot 2024-07-08 121744.png,8789760617-Neptune-1143,8536,18%,,,,,,,,,1,8-10 Days,
7001,"Neptune 1155- Surface Mounting Socket, Water Tight IP67, 32 A, 3 Pole+N+E, 230/415 V 5 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Surface Mounting","Surface Mounting Socket Outlet IP67, Water Tight",1155,,1155,2790,1674,Piece,Each,1,"Neptune 1155- Surface Mounting Socket, Water Tight IP67, 32 A, 3P + N + P, 230/415 V",,,,,,Type,Surface Mounting Socket,Number of Pole,3 Pole+N+E,Current Rating,32 A,Voltage Rating,230/415 V,IP Protection,IP67,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pine,5 Pin,,,,,,,1720421272-Product-Screenshot 2024-07-08 121744.png,2300345643-Neptune-1155,8536,18%,,,,,,,,,1,8-10 Days,
7002,"Neptune 1112- Surface Mounting Socket, Water Tight IP67, 63 A, 3 Pole+N+E, 230/415 V 5 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Surface Mounting","Surface Mounting Socket Outlet IP67, Water Tight",1112,,1112,6680,4008,Piece,Each,1,"Neptune 1112- Surface Mounting Socket, Water Tight IP67, 63 A, 3P + N + P, 230/415 V",,,,,,Type,Surface Mounting Socket,Number of Pole,3 Pole+N+E,Current Rating,63 A,Voltage Rating,230/415 V,IP Protection,IP67,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pine,5 Pin,,,,,,,1720421272-Product-Screenshot 2024-07-08 121744.png,1715342597-Neptune-1112,8536,18%,,,,,,,,,1,8-10 Days,
